,Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
1,"1,715",0,1,400,No,"1365 Saint Nicholas Ave,                  ",New York,NY,10033
2,"2,045",1,1,571,Yes,"6260 99th St,                  ",Rego Park,NY,11374
3,"2,850",1,1,669,Yes,"1277 E 14th St,                  ",Brooklyn,NY,11230
4,"1,599",0,1,365,No,"88-15 168th St,                  ",Jamaica,NY,11432
5,"1,550",0,1,585,Yes,"5959 Broadway,                  ",Bronx,NY,10463
6,"1,975",0,1,487,Yes,"7525 153rd St,                  ",Kew Gardens Hills,NY,11367
7,"3,804",0,1,516,Yes,"100 W 31st St,                  ",New York,NY,10001
8,"3,399",0,1,641,No,"63 Wall St,                  ",New York,NY,10005
9,"1,699",0,1,544,No,"140-30-140-50 Ash Ave,                  ",Flushing,NY,11355
10,"2,246",0,1,477,Yes,"54 Noll St,                  ",Brooklyn,NY,11206
11,"2,845",0,1,433,Yes,"435 W 31st St,                  ",New York,NY,10001
12,"2,600",0,1,497,Yes,"25 Waterside Plz,                  ",New York,NY,10010
13,"4,021",1,1,694,Yes,"225 Cherry St,                  ",New York,NY,10002
14,"1,775",0,1,564,Yes,"153-30 89th Ave,                  ",Jamaica,NY,11432
16,"2,456",0,1,428,Yes,"42-12 28th St,                  ",Long Island City,NY,11101
18,"2,773",0,1,434,Yes,"395 Leonard St,                  ",Brooklyn,NY,11211
19,"1,599",0,1,544,No,"51-25 Van Kleeck St,                  ",Elmhurst,NY,11373
20,"2,862",0,1,468,Yes,"601 W 57th St,                  ",New York,NY,10019
23,"3,535",1,1,708,Yes,"409 E 14th St,                  ",New York,NY,10009
24,"1,640 ",0,1,"1,640",No,"440 Saint Marks Ave,                  ",Brooklyn,NY,11238
25,"2,553",0,1,479,Yes,"33 Bond St,                  ",Brooklyn,NY,11201
26,"3,734",1,1,944,Yes,"360 1st Ave,                  ",New York,NY,10010
27,"2,997",0,1,527,Yes,"606 W 57th St,                  ",New York,NY,10019
28,"1,500",0,1,500,Yes,"1680 Pelham Pkwy S,                  ",Bronx,NY,10461
29,"2,900 ",0,1,442,Yes,"568 Union Ave,                  ",Brooklyn,NY,11211
30,"3,233",0,1,482,Yes,"101 W End Ave,                  ",Manhattan,NY,10023
31,"4,850 ",1,1,"1,129",Yes,"27-03 42nd Rd,                  ",Long Island City,NY,11101
33,"3,740",1,1,650,Yes,"505 W 37th St,                  ",New York,NY,10018
34,"3,440 ",0,1,519,Yes,"544 Union Ave,                  ",Brooklyn,NY,11211
35,"1,358",0,1,362,No,"2010 Seagirt Blvd,                  ",Far Rockaway,NY,11691
36,"1,995",0,1,477,No,"178-02 Hillside Ave,                  ",Jamaica,NY,11432
37,"2,626",0,1,437,Yes,"180 Water St,                  ",New York,NY,10038
39,"1,718",0,1,468,No,"96-02-96-40 57th Ave,                  ",Corona,NY,11368
40,"4,375",0,1,485,Yes,"101 W 15th St,                  ",New York,NY,10011
41,"3,938",0,1,515,Yes,"675 W 59th St,                  ",New York,NY,10019
42,"2,396",0,1,708,Yes,"10 Halletts Pt,                  ",Astoria,NY,11102
43,"1,500",0,1,371,Yes,"8 Navy Pier Ct,                  ",Staten Island,NY,10304
45,"1,715",0,1,400,No,"1365 Saint Nicholas Ave,                  ",New York,NY,10033
46,"2,045",1,1,571,Yes,"6260 99th St,                  ",Rego Park,NY,11374
47,"2,850",1,1,669,Yes,"1277 E 14th St,                  ",Brooklyn,NY,11230
48,"1,599",0,1,365,No,"88-15 168th St,                  ",Jamaica,NY,11432
