,Bed,Bath,Pet,Zip,Area,Price
0,2,2,0,11221,912,6905.903885903137
1,3,1,0,10009,1200,4291.530922315832
2,3,1,0,10003,920,2665.873018222652
3,1,1,0,10010,590,2376.547204949169
4,1,1,0,10023,690,2886.762747293893
5,1,1,0,11385,750,3082.048980841256
6,2,2,0,10128,1062,7552.173508163756
7,1,1,0,10011,690,2866.2362488013987
8,1,2,0,10014,1083,8202.97330156434
9,0,1,1,10004,400,2013.154307956298
10,3,1,1,11215,950,3004.869305804803
11,1,1,1,10019,600,2740.7646747158415
12,1,1,0,10011,550,2094.4602937397976
13,1,1,1,10023,564,2521.7815020646494
14,0,1,0,10011,485,2447.697030352285
15,1,1,1,10036,550,2288.6025180155284
16,1,2,1,10011,934,8097.098463948165
17,3,2,0,11365,1375,8348.501865068516
18,3,2,1,10016,1000,6972.128330376192
19,1,1,0,10019,530,2025.2595828588446
20,0,1,0,10021,550,2662.3360914691348
21,1,1,0,10031,690,2611.707667494463
22,0,1,1,10005,535,3126.84380891632
23,1,1,1,11201,780,3720.7321464138313
24,5,5,1,11225,4500,35396.905835572834
25,0,1,0,10003,640,3257.004969629854
26,0,1,1,10463,585,3414.7939776766743
27,1,1,0,10019,700,2962.4160997193594
28,1,1,0,10128,558,1929.1914922627275
29,1,1,0,10021,569,2055.5158267649795
30,2,1,1,11206,767,2974.4536464106586
31,2,1,0,10036,700,2074.3269255071027
32,1,1,0,10013,710,2594.697084706937
33,2,2,1,10018,1021,7881.562004782212
34,1,1,1,11432,690,3286.169956494573
35,2,2,1,10069,1318,9091.878397947574
36,3,2,0,10014,1000,6322.297839567074
37,2,1,0,11102,800,2756.9650551887844
38,2,1,0,10010,850,3098.2841200296252
39,2,1,0,10009,744,2489.3076701491336
40,2,2,1,11101,970,7637.362747010549
41,2,2,1,11206,1500,10571.401904553531
42,3,2,1,10023,1501,9820.19500608654
43,2,2,1,10023,1438,10184.457113485621
44,2,1,0,11102,850,3032.5993248536415
45,1,1,1,10036,604,2586.2875292535746
46,1,1,0,10016,750,3131.3125772232434
47,1,1,1,10035,700,2918.4509414821505
48,3,3,0,10016,1550,13230.638047219494
49,2,1,0,10308,2088,9463.19507069961
50,1,1,1,11374,1025,5141.130162646115
51,2,1,0,10010,890,3318.791535761511
52,0,1,0,10022,500,2448.2813172817623
53,2,2,1,11201,1038,7987.593555563761
54,0,1,1,11101,452,2648.764422780162
55,0,1,0,10016,580,2905.7173475395302
56,2,1,0,10009,800,2798.018052173775
57,3,1,0,11220,900,2182.0370377933014
58,3,2,0,10065,1600,9810.54226227932
59,1,1,0,11419,650,2304.988958094098
60,0,1,1,10014,465,2281.1622651536354
61,0,1,0,10010,496,2569.916065156038
62,3,2,1,10021,1370,8933.821231624655
63,1,1,0,10010,850,3809.845407206427
64,0,1,0,10019,500,2571.4403082367317
65,0,1,0,10016,428,2067.789167758363
66,3,2,1,10471,1350,8593.67074064277
67,1,1,1,10036,618,2663.465124759735
68,5,2,1,10010,1350,7605.709934330058
69,1,1,0,10012,650,2255.7253617121105
70,2,2,1,10282,1160,8352.24369615859
71,2,1,0,10010,877,3247.126625648648
72,1,1,1,10036,618,2663.465124759735
73,1,1,0,10028,602,2241.539744442285
74,1,1,0,10018,710,2992.9111554613373
75,2,1,0,10016,954,3544.339110279061
76,0,1,0,10003,340,1603.1993516407092
77,1,1,0,10016,540,1973.6486446308427
78,4,1,0,11221,1200,3514.2848399630475
79,1,1,0,10013,501,1442.5458375078333
80,0,1,1,10001,516,3026.2080861421728
81,2,1,0,10010,844,3065.208007669842
82,3,1,0,10005,750,1847.7701926186055
83,0,1,0,10023,400,1999.6452704145213
84,2,1,0,10305,1000,3526.972858269797
85,4,1,0,10033,1500,5299.460048304158
86,1,1,0,11106,675,2635.7551787559787
87,3,1,1,11222,1000,3379.030768233635
88,1,1,1,10010,944,4657.654948502557
89,1,1,1,10009,745,3535.9987570454296
90,1,1,1,10009,770,3673.815891877858
91,0,1,1,10007,557,2751.381624050482
92,2,2,1,10028,1200,8712.33130163944
93,2,2,0,10007,1000,6996.911429457385
94,4,2,0,11221,1500,8724.240322808257
95,2,2,1,11206,800,6712.52212924553
96,0,1,1,10013,512,2544.3637783370996
97,0,1,0,10021,560,2717.462945402107
98,3,1,0,10026,800,1634.873798162087
99,0,1,1,10019,468,2724.6514899774193
100,2,1,0,10027,800,2568.1212690578323
101,0,1,0,10128,520,2431.2707344942373
102,1,1,1,10036,850,3942.408136004673
103,1,1,1,11249,658,2961.9732347631016
104,2,2,0,10013,900,6486.695887112659
105,1,1,0,10065,730,2881.4786796083363
106,2,2,1,11201,1200,8880.648589277898
107,0,1,1,10011,560,3190.765549175767
108,1,1,0,11209,1041,4784.7676230547
109,2,1,0,10016,890,3191.5272451080436
110,1,1,0,10009,710,3013.4376539538316
111,3,1,0,10009,1100,3740.2623829861177
112,2,1,0,11233,875,3014.4150711431093
113,0,1,1,11375,578,3265.362088064123
114,1,1,1,10023,596,2698.187434650158
115,2,2,0,11209,1300,9057.141717597928
116,2,3,1,10028,1050,11441.578357500934
117,0,1,1,10013,512,2544.3637783370996
118,1,1,0,10003,620,2435.1899745871096
119,1,1,1,10005,641,2999.6271734290167
120,1,1,0,10019,710,3017.5429536523316
121,1,1,0,10021,506,1708.216646987259
122,0,1,1,10016,440,2463.5585068041255
123,3,1,1,11207,1100,3868.7198120858648
124,3,2,0,11218,976,6309.047081384413
125,1,1,1,10065,600,2494.4466928059037
126,0,1,0,10016,472,2310.347325063438
127,2,2,0,10314,1050,7543.495479223175
128,4,2,1,10009,850,5536.296726667293
129,1,1,0,10028,710,2836.9097669183766
130,5,3,0,10022,3000,19784.488094352753
131,3,2,1,11237,850,6038.487729220646
132,1,1,0,10011,576,2237.790113965524
133,1,1,0,10017,700,2527.2543316784686
134,1,2,0,10016,890,7459.238397140911
135,0,1,0,10011,488,2464.235086532176
136,3,1,1,10013,1350,5029.310276389706
137,3,1,0,10025,1000,3090.4666508924274
138,3,1,0,10128,1250,4320.847210070751
139,2,1,0,10009,920,3459.5402993694315
140,3,1,0,10028,920,2571.451125157175
141,3,1,1,10033,1110,4190.69114642127
142,1,2,0,10011,700,6477.512967590435
143,4,2,0,11213,2200,12443.539908367296
144,1,1,0,10003,800,3427.4733453805966
145,1,1,0,10016,560,2083.902352496785
146,2,2,1,10016,920,7242.674786089221
147,2,2,0,10065,920,6773.477482014059
148,2,1,0,10017,932,3094.636055746606
149,1,1,0,10003,705,2903.7682330173675
150,0,1,1,11231,453,2580.381713600478
151,1,1,1,10036,800,3666.773866339816
152,0,1,1,11201,431,2508.3662313299283
153,3,2,0,11231,1656,10303.991130736411
154,3,2,0,10009,1200,7847.680787171899
155,0,1,0,10029,580,2786.66365628306
156,1,1,0,10012,600,1980.0910920472525
157,1,4,0,10301,2825,25267.321460772517
158,3,2,0,10010,1000,6769.775506703463
159,3,1,0,10314,1420,5315.477922710252
160,4,4,1,10019,2942,24185.239598855555
161,1,1,1,10014,859,3741.5990229359104
162,2,2,1,10023,1488,10460.091383150479
163,3,1,0,10009,1150,4015.896652650975
164,0,1,1,11109,460,2598.444012861063
165,2,1,1,10010,650,2325.364155696392
166,2,1,0,11215,1000,3662.4477483202636
167,1,1,0,10017,710,2582.3811856114407
168,3,2,0,10016,1250,8020.682564374281
169,1,1,0,10012,437,1081.5233729398178
170,2,2,0,10002,1217,8673.484224527245
171,2,1,0,11233,600,1498.4265879863942
172,0,1,0,10012,10,-560.8320028212624
173,0,1,0,10005,660,3486.3123687522666
174,1,1,1,10016,820,3846.817669080241
175,0,1,0,10017,580,2577.2933716596126
176,2,1,1,10013,750,2433.2603275882193
177,0,1,0,11221,150,572.2103257082472
178,1,1,1,10024,600,2572.4473870773836
179,2,3,1,10019,1355,13303.580589190518
180,0,1,0,10011,580,2971.402142715513
181,0,1,0,10010,580,3032.9816381929977
182,2,2,0,10016,1151,8186.487997614666
183,0,1,1,10019,412,2415.941107952779
184,1,1,0,10003,2595,13322.743626348976
185,1,1,0,10014,782,2987.5051333258334
186,1,1,1,11201,839,4045.9805846183644
187,1,1,0,10010,1800,9046.896530838716
188,1,1,0,10003,568,2148.5303341356575
189,1,2,0,10021,695,6306.264051176486
190,2,1,0,10025,756,2456.9327021047247
191,3,2,0,10021,1850,11250.29310608109
192,1,1,0,10019,710,3017.5429536523316
193,2,1,0,10463,906,3431.6263002452597
194,2,1,0,10022,300,-77.37833573127
195,2,1,0,10012,775,2233.2497486974535
196,3,1,0,10009,1245,4539.601765014204
197,0,1,0,10019,500,2571.4403082367317
198,5,4,0,11238,3600,26763.197586745082
199,0,1,0,10011,580,2971.402142715513
200,1,1,0,10012,640,2200.5985077791393
201,0,1,0,10001,460,2387.880589791336
202,2,1,0,10301,1200,4929.196814919651
203,1,1,0,10314,708,2813.5684970362854
204,0,1,1,11249,483,2708.8145781129015
205,1,1,0,10022,700,2839.25710876439
206,3,1,0,10036,1000,3016.5712563194456
207,1,1,0,10016,710,2910.8051614913584
208,4,4,0,10021,3141,24767.90839136304
209,3,2,1,11217,850,6198.594417462105
210,2,2,0,10017,1250,8403.819875671164
211,2,1,0,10028,705,2097.7850527750898
212,5,2,1,10025,2700,14924.676224326238
213,1,1,1,11367,600,2781.817671700832
214,3,1,1,11361,1200,4255.776363475621
215,2,2,1,10280,952,7328.764125307753
216,1,1,0,11223,700,2555.991429567962
217,1,1,0,10019,601,2416.6602457829413
218,2,2,1,10065,1450,10024.817854787745
219,3,2,1,10128,1252,8217.63956003961
220,2,2,0,10069,1071,7400.62799147698
221,2,1,0,10003,790,2660.7852042708237
222,1,1,1,10009,750,3563.5621840119147
223,0,1,0,10016,598,3004.9456846188787
224,1,1,0,10011,498,1807.8006532883464
225,0,1,1,10007,436,2084.3466914615274
226,0,1,1,10036,498,2713.504164740878
